,index,vehicle_id,p_start,p_temp,p_end,pre_routes,freq,label,regions
12,573,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.734, 10.8024)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'nguyễn_duy_hiệu')",152,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
13,576,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.734, 10.8034)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'số_39')",128,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
14,577,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.73200000000001, 10.8028)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'quốc_hương')",192,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
15,582,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.73200000000001, 10.8)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'empty')",176,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
16,583,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'cầu_sài_gòn_1')",320,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
17,588,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'điện_biên_phủ')",456,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
18,626,100000025,"(106.74, 10.8014)","(106.736, 10.8026)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'nguyễn_văn_trỗi')",112,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
19,941,100000025,"(106.74, 10.8014)","(106.734, 10.8034)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'số_39', 'cầu_sài_gòn_1')",115,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
20,946,100000025,"(106.74, 10.8014)","(106.734, 10.8034)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'số_39', 'điện_biên_phủ')",159,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
21,1027,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.73200000000001, 10.8)","('xa_lộ_hà_nội', 'quốc_hương', 'empty')",106,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
22,1028,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'quốc_hương', 'cầu_sài_gòn_1')",215,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
23,1033,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'quốc_hương', 'điện_biên_phủ')",321,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
24,1071,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8028)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'quốc_hương', 'nguyễn_văn_trỗi')",112,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
25,1371,100000025,"(106.74, 10.8014)","(106.73299999999999, 10.8007)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'trần_não', 'điện_biên_phủ')",120,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
26,1448,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'empty', 'cầu_sài_gòn_1')",220,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
27,1453,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'empty', 'điện_biên_phủ')",324,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
28,1489,100000025,"(106.74, 10.8014)","(106.73200000000001, 10.8)","(106.68299999999999, 10.7908)","('xa_lộ_hà_nội', 'empty', 'empty')",107,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_3')"
29,1530,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.729, 10.7993)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'cầu_sài_gòn_1')",409,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
30,1534,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'điện_biên_phủ')",1812,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
31,1540,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.713, 10.8014)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'cầu_vượt_ngã_tư_hàng_xanh')",128,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
32,1549,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.697, 10.7906)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'đinh_tiên_hoàng')",148,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
33,1553,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'võ_thị_sáu')",964,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
34,1563,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'nam_kỳ_khởi_nghĩa')",502,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
35,1572,100000025,"(106.74, 10.8014)","(106.73100000000001, 10.7996)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'nguyễn_văn_trỗi')",1166,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
36,1925,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.721, 10.7983)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'điện_biên_phủ')",1752,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
37,1930,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.713, 10.8014)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'cầu_vượt_ngã_tư_hàng_xanh')",108,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
38,1939,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.697, 10.7906)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'đinh_tiên_hoàng')",348,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
39,1943,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'võ_thị_sáu')",2256,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
40,1953,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'nam_kỳ_khởi_nghĩa')",1176,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
41,1961,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.682, 10.7915)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'cầu_công_lý')",150,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_12_quận_phú_nhuận')"
42,1962,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'nguyễn_văn_trỗi')",2730,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
43,1990,100000025,"(106.74, 10.8014)","(106.721, 10.7981)","(106.625, 10.8145)","('xa_lộ_hà_nội', 'điện_biên_phủ', 'd9')",120,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_tây_thạnh_quận_tân_phú')"
44,2368,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.708, 10.8005)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'điện_biên_phủ')",192,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_15_quận_bình_thạnh')"
45,2378,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'võ_thị_sáu')",232,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
46,2388,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'nam_kỳ_khởi_nghĩa')",124,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
47,2397,100000025,"(106.74, 10.8014)","(106.713, 10.8014)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'cầu_vượt_ngã_tư_hàng_xanh', 'nguyễn_văn_trỗi')",284,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
48,2963,100000025,"(106.74, 10.8014)","(106.697, 10.7906)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'đinh_tiên_hoàng', 'võ_thị_sáu')",272,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_đa_kao_quận_1')"
49,2973,100000025,"(106.74, 10.8014)","(106.697, 10.7906)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'đinh_tiên_hoàng', 'nam_kỳ_khởi_nghĩa')",152,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_3')"
50,2982,100000025,"(106.74, 10.8014)","(106.697, 10.7906)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'đinh_tiên_hoàng', 'nguyễn_văn_trỗi')",340,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_phú_nhuận')"
51,3198,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.694, 10.7904)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'võ_thị_sáu')",810,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_đa_kao_quận_1')"
52,3207,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'nam_kỳ_khởi_nghĩa')",908,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_3')"
53,3215,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.682, 10.7915)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'cầu_công_lý')",116,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_12_quận_phú_nhuận')"
54,3216,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'nguyễn_văn_trỗi')",2104,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_phú_nhuận')"
55,3244,100000025,"(106.74, 10.8014)","(106.695, 10.7912)","(106.625, 10.8145)","('xa_lộ_hà_nội', 'võ_thị_sáu', 'd9')",100,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_tây_thạnh_quận_tân_phú')"
56,3723,100000025,"(106.74, 10.8014)","(106.68799999999999, 10.7858)","(106.68700000000001, 10.7868)","('xa_lộ_hà_nội', 'nam_kỳ_khởi_nghĩa', 'nam_kỳ_khởi_nghĩa')",210,False,"('phường_thảo_điền_quận_2', 'phường_8_quận_3', 'phường_8_quận_3')"
57,3731,100000025,"(106.74, 10.8014)","(106.68799999999999, 10.7858)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'nam_kỳ_khởi_nghĩa', 'nguyễn_văn_trỗi')",1108,False,"('phường_thảo_điền_quận_2', 'phường_8_quận_3', 'phường_8_quận_phú_nhuận')"
58,4071,100000025,"(106.74, 10.8014)","(106.682, 10.7915)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'cầu_công_lý', 'nguyễn_văn_trỗi')",142,False,"('phường_thảo_điền_quận_2', 'phường_12_quận_phú_nhuận', 'phường_8_quận_phú_nhuận')"
59,4110,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.68, 10.7928)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'nguyễn_văn_trỗi')",1208,False,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_8_quận_phú_nhuận')"
60,4130,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.613, 10.8176)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'cn1')",112,False,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_tây_thạnh_quận_tân_phú')"
61,4137,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.625, 10.8145)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'd9')",140,False,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_tây_thạnh_quận_tân_phú')"
62,4142,100000025,"(106.74, 10.8014)","(106.681, 10.7926)","(106.62799999999999, 10.8119)","('xa_lộ_hà_nội', 'nguyễn_văn_trỗi', 'chế_lan_viên')",112,False,"('phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận', 'phường_tây_thạnh_quận_tân_phú')"
63,9982,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.734, 10.8024)","('thảo_điền', 'nguyễn_duy_hiệu', 'nguyễn_duy_hiệu')",370,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
64,9985,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.734, 10.8034)","('thảo_điền', 'nguyễn_duy_hiệu', 'số_39')",316,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
65,9986,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.73200000000001, 10.8028)","('thảo_điền', 'nguyễn_duy_hiệu', 'quốc_hương')",432,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
66,9991,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.73200000000001, 10.8)","('thảo_điền', 'nguyễn_duy_hiệu', 'empty')",424,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
67,9992,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.73100000000001, 10.7996)","('thảo_điền', 'nguyễn_duy_hiệu', 'cầu_sài_gòn_1')",748,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
68,9997,100000025,"(106.738, 10.8012)","(106.736, 10.8026)","(106.721, 10.7981)","('thảo_điền', 'nguyễn_duy_hiệu', 'điện_biên_phủ')",984,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
69,10344,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.73200000000001, 10.8028)","('thảo_điền', 'số_39', 'quốc_hương')",160,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
70,10349,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.73200000000001, 10.8)","('thảo_điền', 'số_39', 'empty')",119,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
71,10350,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.73100000000001, 10.7996)","('thảo_điền', 'số_39', 'cầu_sài_gòn_1')",278,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
72,10355,100000025,"(106.738, 10.8012)","(106.734, 10.8034)","(106.721, 10.7981)","('thảo_điền', 'số_39', 'điện_biên_phủ')",363,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
73,10436,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8028)","(106.73200000000001, 10.8)","('thảo_điền', 'quốc_hương', 'empty')",170,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
74,10437,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8028)","(106.73100000000001, 10.7996)","('thảo_điền', 'quốc_hương', 'cầu_sài_gòn_1')",391,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
75,10442,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8028)","(106.721, 10.7981)","('thảo_điền', 'quốc_hương', 'điện_biên_phủ')",525,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
76,10857,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8)","(106.73100000000001, 10.7996)","('thảo_điền', 'empty', 'cầu_sài_gòn_1')",334,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
77,10862,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8)","(106.721, 10.7981)","('thảo_điền', 'empty', 'điện_biên_phủ')",513,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
78,10898,100000025,"(106.738, 10.8012)","(106.73200000000001, 10.8)","(106.68299999999999, 10.7908)","('thảo_điền', 'empty', 'empty')",114,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_3')"
79,10939,100000025,"(106.738, 10.8012)","(106.73100000000001, 10.7996)","(106.729, 10.7993)","('thảo_điền', 'cầu_sài_gòn_1', 'cầu_sài_gòn_1')",283,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
80,10943,100000025,"(106.738, 10.8012)","(106.73100000000001, 10.7996)","(106.721, 10.7981)","('thảo_điền', 'cầu_sài_gòn_1', 'điện_biên_phủ')",879,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
81,11334,100000025,"(106.738, 10.8012)","(106.721, 10.7981)","(106.721, 10.7983)","('thảo_điền', 'điện_biên_phủ', 'điện_biên_phủ')",534,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
82,11352,100000025,"(106.738, 10.8012)","(106.721, 10.7981)","(106.695, 10.7912)","('thảo_điền', 'điện_biên_phủ', 'võ_thị_sáu')",120,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
83,11371,100000025,"(106.738, 10.8012)","(106.721, 10.7981)","(106.681, 10.7926)","('thảo_điền', 'điện_biên_phủ', 'nguyễn_văn_trỗi')",168,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
84,12625,100000025,"(106.738, 10.8012)","(106.695, 10.7912)","(106.681, 10.7926)","('thảo_điền', 'võ_thị_sáu', 'nguyễn_văn_trỗi')",140,False,"('phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1', 'phường_8_quận_phú_nhuận')"
85,14595,100000025,"(106.738, 10.8014)","(106.736, 10.8026)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'nguyễn_duy_hiệu', 'nguyễn_văn_trỗi')",112,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
86,15040,100000025,"(106.738, 10.8014)","(106.73200000000001, 10.8028)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'quốc_hương', 'nguyễn_văn_trỗi')",112,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
87,15503,100000025,"(106.738, 10.8014)","(106.73100000000001, 10.7996)","(106.721, 10.7981)","('song_hành_xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'điện_biên_phủ')",120,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
88,15522,100000025,"(106.738, 10.8014)","(106.73100000000001, 10.7996)","(106.695, 10.7912)","('song_hành_xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'võ_thị_sáu')",100,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
89,15541,100000025,"(106.738, 10.8014)","(106.73100000000001, 10.7996)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'cầu_sài_gòn_1', 'nguyễn_văn_trỗi')",140,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
90,15894,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.721, 10.7983)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'điện_biên_phủ')",132,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_25_quận_bình_thạnh')"
91,15912,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.695, 10.7912)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'võ_thị_sáu')",240,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_đa_kao_quận_1')"
92,15922,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.68799999999999, 10.7858)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'nam_kỳ_khởi_nghĩa')",168,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_3')"
93,15931,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.681, 10.7926)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'nguyễn_văn_trỗi')",336,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_8_quận_phú_nhuận')"
94,15959,100000025,"(106.738, 10.8014)","(106.721, 10.7981)","(106.625, 10.8145)","('song_hành_xa_lộ_hà_nội', 'điện_biên_phủ', 'd9')",120,False,"('phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh', 'phường_tây_thạnh_quận_tân_phú')"
